,SG_UF_RESIDENCIA,NU_IDADE,TP_ESCOLA,Q006,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Região,Opção,Renda,NovaRenda
60,RJ,17,2,C,480.3,381.8,371.9,479.6,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
61,RJ,19,2,C,535.0,588.0,573.1,548.0,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
62,RJ,18,2,C,542.4,571.0,598.2,575.2,740,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
63,RJ,18,2,C,422.5,468.0,493.3,475.8,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
64,RJ,19,2,C,404.0,382.6,471.9,403.5,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
65,RJ,17,2,C,443.1,539.6,559.3,525.5,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
66,RJ,17,2,C,359.9,523.1,537.0,384.1,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
67,RJ,18,2,C,395.2,434.5,488.0,415.3,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
68,RJ,17,2,C,437.8,486.1,513.1,506.7,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
69,RJ,19,2,C,557.4,656.7,590.4,745.6,960,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
70,RJ,19,2,C,390.8,418.2,477.0,522.6,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
71,RJ,18,2,C,457.0,458.9,464.3,415.0,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
72,RJ,20,2,C,409.0,337.3,443.8,520.6,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
73,RJ,18,2,C,484.6,476.5,478.3,487.9,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
74,RJ,18,2,C,446.9,505.0,488.0,402.2,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
75,RJ,19,2,C,510.8,390.5,559.7,610.3,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
76,RJ,18,2,C,604.5,636.1,624.4,740.5,840,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
77,RJ,20,2,C,425.7,401.9,447.1,490.4,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
78,RJ,18,2,C,395.9,518.2,526.8,525.7,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
79,RJ,18,2,C,501.7,486.5,529.8,399.0,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
80,RJ,18,2,C,385.5,450.8,469.2,457.4,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
81,RJ,17,2,C,511.8,495.0,550.6,658.2,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
82,RJ,18,2,C,462.2,478.4,509.0,444.6,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
83,RJ,18,2,C,479.1,529.6,537.1,515.9,820,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
84,RJ,18,2,C,492.3,560.5,587.6,580.8,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
85,RJ,19,2,C,463.2,548.8,548.6,457.4,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
86,RJ,17,2,C,512.4,597.2,580.9,599.5,780,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
87,RJ,19,2,C,435.7,535.4,493.3,422.7,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
88,RJ,19,2,C,435.7,518.2,526.5,476.4,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
89,RJ,18,2,C,467.6,509.0,506.3,443.5,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
90,RJ,19,2,C,433.3,426.1,369.0,410.5,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
91,RJ,17,2,C,392.8,446.6,527.8,411.0,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
92,RJ,18,2,C,445.6,558.6,547.3,583.3,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
93,RJ,17,2,C,420.8,430.3,467.0,460.1,320,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
94,RJ,18,2,C,441.4,521.1,578.6,547.9,640,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
95,RJ,18,2,C,400.2,455.0,511.7,431.3,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
96,RJ,19,2,C,428.4,448.1,468.7,536.1,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
97,RJ,19,2,C,506.8,588.9,575.6,405.6,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
98,RJ,17,2,C,375.0,455.0,409.8,478.8,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
99,RJ,17,2,C,397.3,488.9,512.8,439.6,280,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
100,RJ,18,2,C,525.2,538.5,556.2,634.0,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
101,RJ,17,2,C,435.6,455.4,479.6,444.0,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
102,RJ,17,2,C,457.1,505.0,520.9,631.6,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
103,RJ,19,2,C,525.7,588.3,570.0,579.3,840,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
104,RJ,20,2,C,424.8,516.7,474.1,514.0,280,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
105,RJ,18,2,C,481.9,480.5,562.2,435.4,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
106,RJ,18,2,C,478.3,556.1,574.6,529.9,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
107,RJ,18,2,C,446.0,532.4,509.2,584.4,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
108,RJ,18,2,C,463.0,502.4,580.7,480.9,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
109,RJ,18,2,C,437.1,518.4,554.2,544.0,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
110,RJ,18,2,C,378.2,533.1,553.4,526.7,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
111,RJ,19,2,C,515.7,594.9,576.0,414.1,660,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
112,RJ,18,2,C,550.7,666.5,588.7,696.0,920,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
113,RJ,17,2,C,472.0,579.2,582.1,492.8,820,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
114,RJ,18,2,C,616.5,671.7,617.8,659.0,700,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
115,RJ,17,2,C,658.5,662.3,647.4,708.5,840,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
116,RJ,18,2,C,378.7,530.6,508.4,580.5,680,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
117,RJ,17,2,C,434.2,367.5,494.1,393.6,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
118,RJ,18,2,C,497.3,552.1,510.8,536.2,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
119,RJ,18,2,C,458.1,568.3,530.6,710.2,300,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
120,RJ,17,2,C,564.2,658.0,596.7,605.9,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
121,RJ,18,2,C,386.1,436.9,447.0,402.9,260,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
122,RJ,18,2,C,482.1,587.9,553.1,595.2,720,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
123,RJ,19,2,C,375.6,406.0,395.9,424.7,0,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
124,RJ,18,2,C,541.2,582.3,570.1,545.7,860,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
125,RJ,18,2,C,421.5,502.9,487.4,399.1,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
126,RJ,18,2,C,558.9,557.2,590.4,513.2,680,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
127,RJ,18,2,C,413.0,465.8,491.8,426.3,500,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
128,RJ,33,2,C,431.0,453.7,527.0,510.0,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
129,RJ,18,2,C,438.4,506.0,506.5,450.1,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
130,RJ,18,2,C,536.8,568.9,552.7,633.4,720,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
131,RJ,17,2,C,579.7,572.4,591.2,556.9,740,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
132,RJ,20,2,C,511.0,523.1,562.7,378.1,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
133,RJ,19,2,C,475.4,587.6,595.8,515.6,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
134,RJ,17,2,C,535.0,515.2,557.7,666.9,780,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
135,RJ,17,2,C,410.0,532.8,507.1,410.6,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
136,RJ,18,2,C,355.5,427.9,488.2,380.8,620,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
137,RJ,19,2,C,523.3,610.8,575.6,605.0,600,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
138,RJ,18,2,C,405.1,414.6,424.1,391.9,620,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
139,RJ,18,2,C,446.1,556.8,536.2,589.4,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
140,RJ,19,2,C,347.6,445.7,450.3,389.0,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
141,RJ,18,2,C,469.8,519.5,548.1,644.4,680,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
142,RJ,18,2,C,533.6,496.9,501.1,613.8,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
143,RJ,18,2,C,418.2,327.7,467.9,465.8,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
144,RJ,18,2,C,349.3,423.9,475.7,367.1,300,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
145,RJ,17,2,C,387.4,499.5,514.2,386.1,660,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
146,RJ,18,2,C,394.8,557.5,505.2,464.1,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
147,RJ,18,2,C,402.6,454.7,488.0,520.0,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
148,RJ,17,2,C,473.4,444.5,515.8,438.6,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
149,RJ,19,2,C,370.6,434.3,482.6,400.0,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
150,RJ,17,2,C,486.6,567.0,564.4,604.3,840,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
151,RJ,18,2,C,551.6,471.5,528.7,426.1,660,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
152,RJ,18,2,C,428.6,482.6,542.0,479.0,580,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
153,RJ,17,2,C,428.7,451.7,505.1,368.1,540,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
154,RJ,17,2,C,454.3,549.8,541.2,490.4,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
155,RJ,19,2,C,416.6,406.3,458.6,389.1,460,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
156,RJ,17,2,C,389.8,426.9,461.7,456.0,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
157,RJ,17,2,C,410.2,436.7,443.9,438.4,480,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
158,RJ,18,2,C,485.8,396.8,390.8,422.4,440,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
159,RJ,19,2,C,485.3,450.3,492.0,516.6,420,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
160,RJ,22,2,C,388.0,526.7,543.2,413.6,560,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
161,RJ,17,2,C,504.0,476.6,561.0,547.3,520,Sudeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
162,PE,18,2,C,508.6,525.1,543.7,465.1,560,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
163,PE,18,2,C,402.0,514.6,532.2,609.3,680,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
164,PE,18,2,C,399.5,510.7,577.8,557.9,660,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
165,PE,18,2,C,450.6,510.3,504.0,514.1,560,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
166,PE,17,2,C,514.6,537.5,538.4,442.3,680,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
167,PE,19,2,C,517.6,478.1,499.7,556.4,280,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
168,PE,17,2,C,373.9,336.2,454.5,431.9,600,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
169,PE,17,2,C,520.0,414.3,446.3,457.5,0,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
170,PE,16,2,C,537.6,481.7,504.9,441.2,580,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
171,PE,18,2,C,474.1,549.3,576.1,490.8,680,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
172,PE,18,2,C,406.6,501.1,416.3,420.8,340,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
173,PE,17,2,C,438.1,448.0,419.8,515.2,0,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
174,PE,17,2,C,465.4,437.3,456.5,396.6,620,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
175,PE,17,2,C,414.7,498.9,513.6,364.0,560,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
176,PE,18,2,C,414.3,0.0,438.8,494.9,440,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
177,PE,17,2,C,503.2,600.9,562.6,460.8,920,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
178,PE,18,2,C,476.9,426.9,541.7,584.6,500,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
179,PE,18,2,C,480.1,476.3,537.7,551.0,620,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
180,PE,17,2,C,543.1,525.2,561.3,639.8,940,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
181,PE,18,2,C,456.0,551.4,545.0,519.9,580,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
182,PE,17,2,C,536.2,509.2,569.6,641.5,600,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
183,PE,18,2,C,588.6,545.1,560.9,600.7,920,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
184,PE,17,2,C,396.4,543.2,491.5,433.1,480,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
185,PE,18,2,C,361.4,394.0,378.2,400.5,240,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
186,PE,17,2,C,463.7,583.2,522.2,483.9,660,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
187,PE,18,2,C,441.9,448.4,523.6,454.6,440,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
188,PE,18,2,C,506.1,493.1,560.0,555.9,540,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
189,PE,16,2,C,566.3,601.0,592.8,654.0,600,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
190,PE,18,2,C,395.4,402.1,338.7,441.9,260,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
191,PE,17,2,C,362.6,503.6,525.4,499.6,380,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
192,PE,17,2,C,507.8,485.8,558.6,508.6,640,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
193,PE,17,2,C,366.5,443.1,407.3,482.6,240,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
194,PE,17,2,C,409.6,531.9,530.1,497.4,740,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
195,PE,17,2,C,527.2,560.5,568.7,534.1,900,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
196,PE,18,2,C,463.9,377.2,534.5,585.8,540,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
197,PE,17,2,C,431.5,410.0,484.1,527.1,900,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
198,PE,18,2,C,504.9,529.7,488.8,485.7,480,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
199,PE,18,2,C,473.5,504.4,509.6,505.6,520,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
200,PE,18,2,C,525.1,511.7,523.7,563.4,840,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
201,PE,18,2,C,503.7,529.4,488.7,517.5,600,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
202,PE,18,2,C,397.8,401.2,532.7,408.9,380,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
203,PE,17,2,C,489.9,555.2,564.2,557.6,620,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
204,PE,18,2,C,340.5,445.6,472.6,536.2,360,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
205,PE,18,2,C,460.1,477.0,477.4,363.2,740,Nordeste,Pública,"De R$ 998,01 até R$ 1.497,00.",1497.0
